SKU,Barcode,Location,Bag,Description,
AAA,D00144,LD00144,9,MOTO G BC70 BATT COMP,
AAA,D00145,LD00145,9,MOTO G BC60 BATT COMP,
AAA,D00146,LD00146,9,NOKIA BL6C BATT COMP,
AAA,D00147,LD00147,9,NOKIA BL6Q BATT COMP,
AAA,D00148,LD00148,9,NOKIA BL6X BATT COMP,
AAA,D00149,LD00149,9,NOKIA BL6P BATT COMP,
AAA,D00150,LD00150,9,NOKIA 8400 BATT COMP,
AAA,D00151,LD00151,9,NOKIA BL4CT BATT COMP,
AAA,D00152,LD00152,9,NOKIA BL4B BATT COMP,
AAA,D00153,LD00153,9,NOKIA BL4J BATT COMP,
g,D00154,LD00154,9,NOKIA BP6M BATT COMP,
AAA,D00155,LD00155,9,NOKIA BL6F BATT COMP,
AAA,D00156,LD00156,9,SNN5699A BATTERY,
AAA,D00157,LD00157,9,SNN5683A BATTERY,
GenuineBty033,D00158,LD00158,9,LG BL44JN BATT ORI,
GenuineBty047,D00159,LD00159,9,LG BL44JH BATT ORI,
GenuineBty046,D00160,LD00160,9,LG FL53HN BATT ORI,
AAA,D00161,LD00161,9,LG 590HN BATT ORI,
AAA,D00162,LD00162,9,LG GD580 BATT COMP,
AAA,D00163,LD00163,9,LG 570N BATT ORI,
AAA,D00164,LD00164,9,LG GT540 BATT COMP,
AAA,D00165,LD00165,9,LG 580A BATT ORI,
AAA,D00166,LD00166,9,LG KE970 BATT COMP,
AAA,D00167,LD00167,9,LG 550N BATT ORI,
AAA,D00168,LD00168,9,LG IP531A BATT ORI,
AAA,D00169,LD00169,9,LG IP580N BATT ORI,
AAA,D00170,LD00170,9,LG 531E BATT ORI,
AAA,D00171,LD00171,9,LG GT505 BATT COMP,
AAA,D00172,LD00172,9,LG 590N BATT ORI,
AAA,D00173,LD00173,9,LG IP690F BATT ORI,
AAA,D00174,LD00174,9,LG 750L BATT ORI,
AAA,D00175,LD00175,9,LG A750 BATT ORI,
AAA,D00176,LD00176,9,LG IPGANM BATT BLK ORI,
AAA,D00177,LD00177,9,LG IPGANM BATT RED ORI,
AAA,D00178,LD00178,9,LG IPGANM BATT PINK ORI,
AAA,D00179,LD00179,9,LG IP470N BATT ORI,
AAA,D00180,LD00180,9,LG IP531A BATT COMP,
AAA,D00181,LD00181,9,LG GD510 BATT COMP,
AAA,D00182,LD00182,9,LG 441A BATT ORI,
AAA,D00183,LD00183,9,LG 340N BATT ORI,
AAA,D00184,LD00184,9,LG IP430G BATT ORI,
AAA,D00185,LD00185,9,LG MG160 BATT ORI,
AAA,D00186,LD00186,9,LG P880 BATT ORI,
AAA,D00187,LD00187,9,LG BL-44JH BATT COMP,
AAA,D00188,LD00188,9,LG KF350 BATT COMP,
AAA,D00189,LD00189,9,LG GR500 BATT ORI,
AAA,D00190,LD00190,9,LG BL 42FN BATT ORI,
AAA,D00191,LD00191,9,LG GW300 BATT COMP,
GenuineBty032,D00192,LD00192,9,LG 400N BATT ORI,
AAA,D00193,LD00193,9,LG 330G BATT ORI,
AAA,D00194,LD00194,9,LG 520N BATT ORI,
AAA,D00195,LD00195,9,LG IP570A BATT ORI,
AAA,D00196,LD00196,9,LG IP470A BATT ORI,
AAA,D00197,LD00197,9,LG KF300 BATT COMP,
AAA,D00198,LD00198,9,LG KU990 BATT COMP,
AAA,D00199,LD00199,9,LG KP500 BATT COMP,
AAA,D00216,LD00216,9,money box,
AAA,D00217,LD00217,9,PET BELTWITH BELL,
AAA,D00218,LD00218,9,Iphone 6+ waterproof case teal blue,
AAA,D00219,LD00219,9,Iphone 6 waterproof case lime green,
AAA,D00220,LD00220,9,PET REMOTE TRAINNER,
168NZ028,D00222,LD00222,6,7W Pet heating pad,
AAA,D00223,LD00223,9,Grand Prime tempered glass protector,
AAA,D00224,LD00224,9,Sony E4 tempered glass protector,
mobilephone215,D00225,LD00225,9,mini USB Car Charger,
others072,D00226,LD00226,9,PP1000 LASER PEN,
jewellery1,D00227,LD00227,9,36 POUCH JEWELRY SKIRT,
other115,D00228,LD00228,7,24 SLOT LIPSTICK STAND,
homeliving053,D00229,LD00229,9,Fire Smoke Sensor Detector Alarm,
AAA,D00230,LD00230,9,IPAD 4 CAMERA KIT MP3,
others069,D00231,LD00231,7,x,
others070,D00232,LD00232,9,DIGITAL VOICE RECORDER 8GB,
AAA,D00233,LD00233,9,NOKIA BL4J BATT ORI,
AAA,D00234,LD00234,9,NOKIA BL6F BATT ORI,
GenuineBty016,D00235,LD00235,9,NOKIA BL4CT BATT ORI,
GenuineBty024,D00236,LD00236,9,NOKIA BP6MT BATT ORI,
AAA,D00237,LD00237,9,NOKIA BL4D BATT ORI,
GenuineBty036,D00238,LD00238,9,NOKIA BL4B BATT ORI,
AAA,D00239,LD00239,9,NOKIA BL4U BATT ORI,
AAA,D00240,LD00240,9,CASIO NP40 BATT ORI,
GenuineBty017,D00241,LD00241,9,NOKIA BL4C BATT ORI,
AAA,D00242,LD00242,9,NOKIA BL6C BATT ORI,
AAA,D00243,LD00243,9,NOKIA BL6Q BATT ORI,
AAA,D00244,LD00244,9,NOKIA BL6P BATT ORI,
GenuineBty038,D00245,LD00245,9,NOKIA BP6M BATT ORI,
GenuineBty018,D00246,LD00246,9,NOKIA BP4L BATT ORI,
AAA,D00247,LD00247,9,HUAWEI HB 4J1 BATT ORI,
GenuineBty034,D00248,LD00248,9,HUAWEI HB 4H1 BATT ORI,
GenuineBty035,D00249,LD00249,9,HUAWEI HB 4F1 BATT ORI,
GenuineBty031,D00250,LD00250,9,HUAWEI HB5A2H BATT ORI,
HB5V1,D00251,LD00251,9,HUAWEI HB5V1 BATT ORI,
AAA,D00252,LD00252,9,HUAWEI HB 5K1 BATT ORI,
PHONEBTY029NZ,D00253,LD00253,9,HUAWEI HB 4W1 BATT ORI,
AAA,D00254,LD00254,9,HUAWEI HB 5I1 BATT ORI,
GenuineBty045,D00255,LD00255,9,HUAWEI HB 4J1H BATT ORI,
GenuineBty026,D00256,LD00256,9,HTC BG58100 BATT ORI,
AAA,D00257,LD00257,9,HTC BM60100 BATT ORI,
GenuineBty049,D00258,LD00258,9,HTC RHOD160 BATT ORI,
AAA,D00259,LD00259,9,HTC LEGEND G6 BATT ORI,
AAA,D00260,LD00260,9,HTC HDC1 BATT COMP,
AAA,D00261,LD00261,9,HTC DESIRE Z BATT COMP,
AAA,D00262,LD00262,9,HTC TOUCH 2 BATT COMP,
AAA,D00263,LD00263,9,HTC T7373 BATT COMP,
AAA,D00264,LD00264,9,HTC G5/7 BATT COMP,
GenuineBty027,D00265,LD00265,9,HTC BL11100 BATT ORI,
GenuineBty025,D00266,LD00266,9,HTC BB 96100 BATT ORI,
AAA,D00267,LD00267,9,HTC BG 86100 BATT ORI,
AAA,D00268,LD00268,9,HTC G9/T5555 BATT COMP,
AAA,D00269,LD00269,9,HTC G3 BATT COMP,
AAA,D00270,LD00270,9,HTC MY TOUCH4 BATT COMP,
AAA,D00271,LD00271,9,HTC HD3 T9292 BATT COMP,
AAA,D00272,LD00272,9,HTC BM 60100 BATT ORI,
AAA,D00273,LD00273,9,HTC BB99100 BATT ORI,
GenuineBty055,D00274,LD00274,9,HTC BD26100 BATT ORI,
AAA,D00275,LD00275,9,HTC BG32100 BATT ORI,
AAA,D00276,LD00276,9,HTC BD29100 BATT ORI,
AAA,D00277,LD00277,9,B/BERRY CX2 BATT COMP,
AAA,D00278,LD00278,9,B/BERRY CM2 BATT COMP,
AAA,D00279,LD00279,9,B/BERRY CS2 BATT COMP,
AAA,D00280,LD00280,9,HTC BG 32100 BATT ORI,
AAA,D00281,LD00281,9,HTC BTR 6200B BATT ORI,
AAA,D00282,LD00282,9,HTC SAPP160 BATT ORI,
AAA,D00283,LD00283,9,samsung AB65850CU,
AAA,D00284,LD00284,9,HTC D1AM160 BATT ORI,
AAA,D00285,LD00285,9,HTC BH06100 BATT ORI,
AAA,D00286,LD00286,9,HTC BB 00100 BATT ORI,
AAA,D00287,LD00287,9,HTC BB96100 BATT ORI,
AAA,D00288,LD00288,9,SAMSUNG S8300 BATT ORI,
AAA,D00289,LD00289,9,SAMSUNG S5350 BATT ORI,
AAA,D00290,LD00290,9,SAMSUNG L810 BATT ORI AB653039C,
AAA,D00291,LD00291,9,SAMSUNG S5530 BATT ORI,
AAA,D00292,LD00292,9,SAMSUNG D830 BATT ORI AB423643CU,
AAA,D00293,LD00293,9,SAMSUNG D888 BATT ORI,
AAA,D00294,LD00294,9,SAMSUNG S7550 BATT ORI,
AAA,D00295,LD00295,9,SAMSUNG M320 BATT ORI AB503442CA,
AAA,D00296,LD00296,9,SAMSUNG E598 BATT ORI,
AAA,D00297,LD00297,9,SAMSUNG U708 BATT ORI,
AAA,D00298,LD00298,9,SAMSUNG G608 BATT ORI,
AAA,D00299,LD00299,9,SAMSUNG G600 BATT ORI,
AAA,D00300,LD00300,9,SAMSUNG E3210 BATT ORI,
AAA,D00301,LD00301,9,SAMSUNG S5510 BATT ORI,
AAA,D00302,LD00302,9,SAMSUNG M8800/F700 BATT ORI,
AAA,D00303,LD00303,9,SANSUNG E958 BATT ORI,
AAA,D00304,LD00304,9,SAMSUNG G808 BATT ORI,
AAA,D00305,LD00305,9,B/BERRY MSI BATT ORI,
AAA,D00306,LD00306,9,B/BERRY FS1 BATT ORI,
AAA,D00307,LD00307,9,B/BERRY CS2 BATT ORI,
AAA,D00308,LD00308,9,B/BERRY CM2 BATT ORI,
GenuineBty022,D00309,LD00309,9,NOKIA BP5M BATT ORI,
AAA,D00310,LD00310,9,NOKIA BL5BT BATT ORI,
GenuineBty020,D00311,LD00311,9,NOKIA BL5C BATT ORI,
AAA,D00312,LD00312,9,SAMSUNG D908 BATT ORI,
AAA,D00313,LD00313,9,SAMSUNG s5530 comp,
AAA,D00314,LD00314,9,SAMSUNG F488 BATT COMP,
AAA,D00315,LD00315,9,SAMSUNG I458 BATT COMP,
AAA,D00316,LD00316,9,SAMSUNG I908 BATT COMP,
homeliving026,D00317,LD00317,7,DIGITAL TEMP HUMID METER,
others031,D00318,LD00318,9,DIGITAL CLAMP MULTIMETER,
others033,D00319,LD00319,7,THIRD HAND TOOL/MAGNIFIER 2X,
sport054,D00320,LD00320,9,x,
homeliving131,D00321,LD00321,7,ELECTRONIC LUGGAGE SCALE,
homeliving132,D00322,LD00322,9,POCKET SCALE 1KG,
others002,D00323,LD00323,9,POCKET SCALE 2KG,
homeliving096,D00324,LD00324,7,SMILE FACE SCALE,
AAA,D00325,LD00325,7,COSMETIC LACE BAG,
AAA,D00326,LD00326,9,x,
Sport027nzsale,D00327,LD00327,7,BETO MINI PUMP,
AAA,D00328,LD00328,9,x,
AAA,D00329,LD00329,7,x,
sport020,D00330,LD00330,9,FISHING LINE COLOURED 300M,
AAA,D00331,LD00331,9,x,
game020,D00332,LD00332,6,WII GUN HOLDER,
LGbtty001,D00333,LD00333,9,LG BL-53QH comp. battery,
Sonybtty001,D00335,LD00335,9,Sony BA750 comp. battery,
Sonybtty003,D00336,LD00336,9,Sony BA700 comp. battery,
GenuineBty044,D00337,LD00337,9,HUAWEI HB5N1H ori battery,
GenuineBty050,D00338,LD00338,9,HUAWEI HB5K1H ori battery,
AAA,D00339,LD00339,9,ORI NOKIA BL-4S BATTERY ,
Nokia001,D00340,LD00340,9,NOKIA BL5C BATT comp.,
AAA,D00342,LD00342,9,LG BL-53QH ori battery,
AAA,D00344,LD00344,9,SONY BST37 BATT comp.,
AAA,D00345,LD00345,9,SONY BST39 BATT comp,
GenuineBty019,D00346,LD00346,9,NOKIA BL5F ORI battery,
AAA,D00347,LD00347,9,B/BERRY LS1 BATT ORI,
AAA,D00348,LD00348,9,B/BERRY LS1 BATT comp,
AAA,D00349,LD00349,9,SONY BA600 BATT comp,
AAA,D00350,LD00350,9,SAMSUNG F488 BATT ORI,
AAA,D00351,LD00351,9,MOTO G BF5X BATT comp,
AAA,D00352,LD00352,9,SONY BST33 BATT comp,
AAA,D30001,LD30001,9,INK H951XL YV3,
AAA,D30002,LD30002,9,INK H951XL M,
AAA,D30003,LD30003,9,INK H951XL C,
game043,E00001,LE00001,7,PS VITA Hand Grip,
others087,E00002,LE00002,9,PS3 replacement battery,
AAA,E00003,LE00003,7,Scale 40k,
game067,E00004,LE00004,6,PS4 cooler fan,
game068,E00005,LE00005,6,PS4 cooler fan + 3 usb port,
AAA,e00006b,Le00006b,9,Ipad 1 2 3 dock BK,
AAA,e00006w,Le00006w,9,Ipad1 2 3 dock WH,
AAA,E00007,LE00007,9,IPAD 4 / MINI DOCK white,
AAA,E00008,LE00008,9,IPAD 4 / mini DOCK black,
AAA,E00009,LE00009,7,WII wireless controller black,
AAA,e00010,Le00010,7,WII wireless controller white,
AAA,E00011b,LE00011b,6,XBOX 360 controller black,
game032,E00011w,LE00011w,6,xbox 360 controller white,
Gaming046nz,E00012,LE00012,7,PS3 charging dock big,
game003,E00013,LE00013,6,PS4 charging dock big,
game006nzsale,E00014,LE00014,9,XBOX small nibble battery white,
AAA,E00015,LE00015,9,XBOX small nibble battery black,
NEW0062,e00016,Le00016,7,XBOX 360 Power saver adapter,
computer226,E00017,LE00017,6,XBOX ONE power supply,
AAA,E00018,LE00018,9,WII  small nibble battery,
game038,E00019,LE00019,7,PS3 blue tooth earphone small,
game002nzsale,E00020,LE00020,7,WII charging station white,
AAA,E00021,LE00021,7,WII charging station black,
AAA,E00022,LE00022,7,belt holder cutter,
GAME033,E00023,LE00023,7,wii classic wired controller white,
game034,e00024,Le00024,7,wii wired classic controller black,
AAA,E00025,LE00025,7,ps3 wired controller,
game012,E00026,LE00026,7,game cube controller black,
game011,E00027,LE00027,7,game cube controller white,
AAA,E00028,LE00028,7,X,
AAA,E00029,LE00029,7,x,
game061,E00031,LE00031,7,360 slim hard drive transfer cable,
game035,E00032,LE00032,7,XBOX one TV Clip,
AAA,E00033,LE00033,7,,
AAA,E00034,LE00034,7,x,
AAA,E00035,LE00035,7,USB multi function LAN adater,
game036,E00036,LE00036,7,PS4 TV Clip,
AAA,E00037,LE00037,9,LED rotating light bulb with remote,
PhoneACC0033nzsale,E00038,LE00038,9,SAMsung small charging dock wh,
AAA,E00039,LE00039,9,Samsung small  charging dock bk,
mobilephone245,E00040,LE00040,9,Iph5 charging dock wh,
AAA,E00041,LE00041,9,Iph5  charging dock  bk,
AAA,E00042,LE00042,7,x,
AAA,E00043,LE00043,7,x,
AAA,E00044,LE00044,7,x,
AAA,E00045,LE00045,7,x,
game026,E00046,LE00046,7,Xbox game receiver,
AAA,E00047,LE00047,9,xbox battery white,
AAA,E00048,LE00048,9,xbox360 battery black 4100mah,
AAA,E00049,LE00049,9,Iph4 docking wh,
AAA,E00050,LE00050,7,Iph4 docking bk,
AAA,E00051,LE00051,9,xbox 360 transfer cable,
AAA,E00052,LE00052,7,wii HDMI converter,
AAA,E00053,LE00053,9,x,
AAA,E00054,LE00054,7,5 in 1 car charger,
game022nzsale,E00055,LE00055,9,PS3 Dual Charging Dock w/ Cable (small),
others089,E00056,LE00056,7,PS4 Dual Charging Dock w/ Cable (small),
game053,E00057,LE00057,7,PS4 small earphone,
AAA,E00058,LE00058,7,x,
AAA,E00059,LE00059,7,x,
AAA,E00060,LE00060,7,x,
game060,E00061,LE00061,7,XBOX extension cable,
game050,E00062,LE00062,9,xbox one battery,
computer143,E00063,LE00063,7,USB to 25 Pin Printer Cable,
game021,E00064,LE00064,9,wii wired sensor bar,
AAA,E00065,LE00065,9,wii remote bk,
zoween005,E00066,LE00066,9,wii remote wh,
game019,E00067,LE00067,9,wii nunchunck bk,
game018,E00068,LE00068,9,wii nunchunck wh,
others090,E00069,LE00069,7,Mouse Pad (600 * 300),
others091,E00070,LE00070,7,300 * 1000 mouse mat,
others091,e00070,Le00070,7,HDMI 20M leather,
AAA,E00095,LE00095,9,SAMSUNG I5503 BATT ORI,
AAA,E00096,LE00096,9,SAMSUNG I5503 BATT COMP,
AAA,E00097,LE00097,9,SAMSUNG I5800/I8910/S5800 BATT COMP,
GenuineBty037,E00098,LE00098,9,SAMSUNG X208/X200/E250 BATT ORI,
GenuineBty041,E00099,LE00099,9,SAMSUNG S5690/I8150/S5820 BATT ORI,
GenuineBty040,E00101,LE00101,9,I5800 BAT ORI,
AAA,E00102,LE00102,9,SAMSUNG I8530 BATT ORI,
samsung005nzsale,E00103,LE00103,9,SAMSUNG I9100 GOLD BATTERY,
AAA,E00104,LE00104,9,SAMSUNG I8750 BATT ORI,
AAA,E00105,LE00105,9,SAMSUNG I8750 BATT COMP,
samsung011,E00106,LE00106,9,SAMSUNG NOTE3 N9000 BATT COMP,
GenuineBty039,E00108,LE00108,9,SAMSUNG I9070 BATT ORI,
GenuineBty051,E00109,LE00109,9,SAMSUNG S5380 BATT ORI,
AAA,E00110,LE00110,9,NOKIA ORI BL4S,
AAA,E00111,LE00111,9,SAMSUNG T989 BATT ORI,
AAA,E00112,LE00112,9,SAMSUNG BX40/50 BATT COMP,
AAA,E00113,LE00113,9,SAMSUNG U600 BATT COMP,
AAA,E00114,LE00114,9,SAMSUNG G600 BATT ORI,
AAA,E00115,LE00115,9,SAMSUNG J700 BATT ORI,
AAA,E00116,LE00116,9,SAMSUNG BST 3200BE BATT ORI,
AAA,E00117,LE00117,9,SAMSUNG BST 3108BE BATT ORI,
AAA,E00119,LE00119,9,SAMSUNG G600 BATT COMP,
AAA,E00120,LE00120,9,SAMSUNG BST4048BE BATT ORI,
AAA,E00121,LE00121,9,SAMSUNG J600 BATT COMP,
GenuineBty023,E00122,LE00122,9,NOKIA BL5CA BATT ORI,
AAA,E00123,LE00123,9,NOKIA BL5CT BATT ORI,
Nokia004,E00124,LE00124,9,NOKIA BL5B BATT ORI,
AAA,E00125,LE00125,9,NOKIA BL5K BATT ORI,
AAA,E00126,LE00126,9,NOKIA BLD3C BATT COMP,
AAA,E00127,LE00127,9,NOKIA BLB2C BATT COMP,
AAA,E00128,LE00128,9,NOKIA BP5M BATT COMP,
AAA,E00129,LE00129,9,NOKIA BP5T BATT ORI,
AAA,E00130,LE00130,9,NOKIA BL5J BATT ORI,
AAA,E00131,LE00131,9,NOKIA BP5L BATT ORI,
AAA,E00132,LE00132,9,NOKIA BP6MT BATT COMP,
PHONEBTY102,E00133,LE00133,9,I9260 ORI BATTERY,
PHONEBTY042NZ,E00134,LE00134,9,NOKIA BL5J BATT COMP,
AAA,E00135,LE00135,9,NOKIA BL5U BATT COMP,
Nokia002,E00136,LE00136,9,NOKIA BL4U BATT COMP,
GenuineBty048,E00137,LE00137,9,NOKIA BP3L BATT ORI,
AAA,E00138,LE00138,9,NOKIA BL120 BATT COMP,
AAA,E00139,LE00139,9,NOKIA BL5F BATT COMP,
AAA,E00140,LE00140,9,SAMSUNG M8800/F300 BATT COMP,
AAA,E00141,LE00141,9,NOKIA BL5BT BATT COMP,
AAA,E00141,LE00141,9,SAMSUNG S4 BATT ORI,
AAA,E00142,LE00142,9,NOKIA BL5K BATT COMP,
AAA,E00143,LE00143,9,NOKIA BL5X BATT COMP,
AAA,E00144,LE00144,9,NOKIA BP5L BATT COMP,
GenuineBty003,E00145,LE00145,9,SAMSUNG S5 I9600 BATT ORI,
GenuineBty014,E00146,LE00146,9,SAMSUNG F408 BATT ORI,
samsung008nzsale,E00148,LE00148,9,SAMSUNG S4 BATT COMP,
GenuineBty006,E00149,LE00149,9,SAMSUNG S4 MINI BATT ORI,
samsung012nzsale,E00150,LE00150,9,SAMSUNG S4 MINI BATT COMP,
GenuineBty001,E00151,LE00151,9,SAMSUNG S3 BATT ORI,
samsung010nzsale,E00152,LE00152,9,SAMSUNG S3 BATT COMP,
samsung010,E00152,LE00152,9,,
GenuineBty005,E00153,LE00153,9,SAMSUNG S3 MINI i8190 BATT ORI,
GenuineBty004,E00155,LE00155,9,SAMSUNG S2 BATT ORI,
samsung001,E00156,LE00156,9,SAMSUNG S2 BATT COMP,
AAA,E00157,LE00157,9,SAMSUNG S2 MINI BATT ORI,
AAA,E00158,LE00158,9,SAMSUNG S2 MINI BATT COMP,
GenuineBty015,E00159,LE00159,9,SAMSUNG I9250 BATT ORI,
samsung013,E00160,LE00160,9,SAMSUNG I9250 BATT COMP,
samsung017,E00161,LE00161,9,SAMSUNG N7000 BATT COMP,
GenuineBty043,E00162,LE00162,9,SAMSUNG I9000 BATT ORI,
samsung003,E00163,LE00163,9,SAMSUNG I9000 BATT COMP,
GenuineBty012,E00164,LE00164,9,SAMSUNG S5830 BATT ORI,
samsung002,E00165,LE00165,9,SAMSUNG S5830 BATT COMP,
